trait,pval,cor,type,date
Boron,4.40992276607007e-06,-0.218096805269411,ExG,Aug 26
Boron,7.28181640785832e-07,-0.234857058889244,ExG2,Aug 26
Boron,8.98152193149741e-07,-0.232969085409854,RGB,Aug 26
Boron,7.28598385443272e-06,-0.213183294238133,NGR,Aug 26
Boron,1.54959829370745e-06,-0.227984462747452,GLI,Aug 26
Boron,7.55885276416824e-06,-0.212818968701406,MGR,Aug 26
Boron,3.99898370960623e-05,-0.195598684675874,VARI,Aug 26
Boron,0.216185812160173,0.0594154255655607,VEG,Aug 26
Boron,0.977743028657392,-0.00134149464471263,Woebbecke..no.abs.,Aug 26
Boron,1.72530828992477e-08,0.266172290635167,Woebbecke..abs.,Aug 26
LA,0.283707466604412,0.0721000246417732,ExG,July 6
LA,0.0147850383487909,0.16305633212673,ExG2,July 6
LA,0.0191334294800393,0.156803049560849,RGB,July 6
LA,0.00102087027608661,0.218524125196021,NGR,July 6
LA,0.0146915457199875,0.16320762497179,GLI,July 6
LA,0.00114004201502758,0.216495570317869,MGR,July 6
LA,0.000563323400111554,0.229148261048483,VARI,July 6
LA,0.013616674565114,0.165010455722286,VEG,July 6
LA,0.812167948192734,-0.0160018026310676,Woebbecke..no.abs.,July 6
LA,0.00338431760174014,-0.195442245253143,Woebbecke..abs.,July 6
FW,0.85553437843961,-0.0122601896736635,ExG,July 6
FW,0.150343500183572,0.0966344974267409,ExG2,July 6
FW,0.165370329039184,0.0932175576360471,RGB,July 6
FW,0.0219765540888814,0.153354814833643,NGR,July 6
FW,0.146363250932306,0.0975825632661762,GLI,July 6
FW,0.0237628634485811,0.151381005231556,MGR,July 6
FW,0.0111012954610259,0.169774872448459,VARI,July 6
FW,0.0116537015342425,0.168652535941965,VEG,July 6
FW,0.707187265296371,-0.0252925869984724,Woebbecke..no.abs.,July 6
FW,0.195851911110517,-0.0869410050166796,Woebbecke..abs.,July 6
Chl,0.640909415788368,0.031474499243849,ExG,July 6
Chl,0.331996585430181,0.0654083545270388,ExG2,July 6
Chl,0.378136296820682,0.0594345744367298,RGB,July 6
Chl,0.122603865129513,0.103928095201177,NGR,July 6
Chl,0.331772776181784,0.0654385730296245,GLI,July 6
Chl,0.12443437406447,0.103425177513602,MGR,July 6
Chl,0.0865320334746491,0.115301878360264,VARI,July 6
Chl,0.0245266356890537,0.150914577973374,VEG,July 6
Chl,0.0240725073665103,0.151391678474035,Woebbecke..no.abs.,July 6
Chl,0.392022973480697,-0.0577258573584426,Woebbecke..abs.,July 6
DW,0.847302922593587,0.0129671589129423,ExG,July 6
DW,0.183479355147055,0.0893952526511466,ExG2,July 6
DW,0.20222482990006,0.0857207590865247,RGB,July 6
DW,0.029077584971974,0.146182079753096,NGR,July 6
DW,0.179015743932706,0.0903104953551347,GLI,July 6
DW,0.0303294365772339,0.145077264411165,MGR,July 6
DW,0.0157328549223334,0.161568036646039,VARI,July 6
DW,0.0350512563955217,0.141231895178281,VEG,July 6
DW,0.672581767297317,-0.0284540583179747,Woebbecke..no.abs.,July 6
DW,0.111195834270009,-0.106959424391597,Woebbecke..abs.,July 6
Nitrogen,0.678270972695687,-0.0279937181514538,ExG,July 6
Nitrogen,0.929912199594012,-0.00593663552842236,ExG2,July 6
Nitrogen,0.876652940256242,-0.0104761082724804,RGB,July 6
Nitrogen,0.66891686173708,0.0288579156212584,NGR,July 6
Nitrogen,0.926585784200353,-0.00621916753290649,GLI,July 6
Nitrogen,0.650839720626279,0.0305415783482282,MGR,July 6
Nitrogen,0.538315177663022,0.0415170069203994,VARI,July 6
Nitrogen,0.314330597464876,0.0678352839713231,VEG,July 6
Nitrogen,0.229156775311275,0.0810334444890968,Woebbecke..no.abs.,July 6
Nitrogen,0.84131747522105,-0.0135127883819515,Woebbecke..abs.,July 6
Sulfur,0.404427698063662,0.0562300884383496,ExG,July 6
Sulfur,0.211884587449133,0.0841134066528096,ExG2,July 6
Sulfur,0.239051391935247,0.0793425794735255,RGB,July 6
Sulfur,0.243038864122388,0.0786750532281099,NGR,July 6
Sulfur,0.223372984130657,0.0820458190549404,GLI,July 6
Sulfur,0.249939787972885,0.0775376276340526,MGR,July 6
Sulfur,0.259632227988855,0.0759762931295278,VARI,July 6
Sulfur,0.397543447517273,0.057056748541029,VEG,July 6
Sulfur,0.224614798425806,0.0818269029067431,Woebbecke..no.abs.,July 6
Sulfur,0.274928649543016,-0.0735916938445993,Woebbecke..abs.,July 6
Phosphorus,0.684365500765435,-0.0274331164086929,ExG,July 6
Phosphorus,0.214525677614713,-0.0836311211898367,ExG2,July 6
Phosphorus,0.1473545840787,-0.0975650543447126,RGB,July 6
Phosphorus,0.149963871413413,-0.0969431350894507,NGR,July 6
Phosphorus,0.18612194133715,-0.0890624855547894,GLI,July 6
Phosphorus,0.141118080674425,-0.0990861655041802,MGR,July 6
